id3 tags from site:https://docs.mp3tag.de/

WWWCOMMERCIALINFO, "", 
Internal,	   WWWCOMMERCIALINFO,
ID3v2.3,	   WCOM,
ID3v2.4,	   WCOM,
MP4,               "",	
Matroska,	   T=30 PURCHASE_INFO,
ASF/Windows Media, WM/PromotionURL,
RIFF INFO,         "",	
WWWCOPYRIGHT,      "", 
Internal,	   WWWCOPYRIGHT,
ID3v2.3,	   WCOP,
ID3v2.4,	   WCOP,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, CopyrightURL,
RIFF INFO,         "",	
WWWPAYMENT,        "", 
Internal,	   WWWPAYMENT,
ID3v2.3, 	   WPAY,
ID3v2.4,	   WPAY,
MP4,               "",	
Matroska,	   T=30 PURCHASE_ITEM,
ASF/Windows Media, "",	
RIFF INFO,         "",	
WWWPUBLISHER,       "", 
Internal,	   WWWPUBLISHER,
ID3v2.3,	   WPUB,
ID3v2.4,	   WPUB,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
WWWRADIOPAGE,      "", 
Internal,	   WWWRADIOPAGE,
ID3v2.3,	   WORS,
ID3v2.4,	   WORS,
MP4,               "",	
Matroska,	   T=30,
ASF/Windows Media, "",	
RIFF INFO,         "",	
YEAR,              "", 
Internal,	   YEAR,
ID3v2.3,	   TYER,
ID3v2.4,	   TDRC,
MP4,	           ©day,
Matroska,	   T=50 DATE_RECORDED,
ASF/Windows Media, WM/Year,
RIFF INFO,	   ICRD,
Other fields,      "", 
Internal,	   Other fields,
ID3v2.3,	   TXXX:fieldname,
ID3v2.4,	   TXXX:fieldname,
MP4,	           ----:com.apple.iTunes:fieldname,
Matroska,	   T=30 fieldname,
ASF/Windows Media, fieldname,
RIFF INFO,         "",



Tag fields exclusive to MP4
Name in Mp3tag,	   MP4,	  iTunes,
DIRECTOR,	   ©dir	  "",
ITUNESACCOUNT,	   apID	  "",
ITUNESADVISORY [1],rtng,  ""	
ITUNESALBUMID,	   plID,  iTunes Album ID,
ITUNESARTISTID,	   atID,  iTunes Artist ID,
ITUNESCATALOGID,   cnID,  iTunes Catalog ID,
ITUNESCOMPOSERID,  cmID,  iTunes Composer ID,
ITUNESCOUNTRYID,   sfID,  iTunes Store Country ID,
ITUNESGAPLESS [2], pgap,  Gapless album,
ITUNESGENREID,	   geID,  iTunes Genre ID,
ITUNESHDVIDEO,	   hdvd,  Boolean flag for HD video (0/1),
ITUNESMEDIATYPE [3],stik, Media type,
ITUNESOWNER,	   ownr,  Owner,
ITUNESPURCHASEDATE,purd,  Purchase Date,
RATE,	           rate,  Rating,
SHOWMOVEMENT,      shwm,  Show Movement,
TOTALDISCS,	   dis,	  Total Disc Number,
TOTALTRACKS,	   trkn,  Total Track Number,
TVEPISODE,	   tves,  TV Episode,
TVEPISODEID, 	   tven,  TV Episode ID,
TVNETWORK,	   tvnn,  "",
TVSEASON,	   tvsn,  TV Season,
TVSHOW,	           tvsh,  Show,
TVSHOWSORT,	   sosn,  Sort Show,
WORK,	           ©wrk,  Work Name,
